srcStateName,srcYear,Region-wise installation of electricity,"Energy Value Type ( Potential, Capacity, Generation )",Types of Energy Sources,Nature of Energy Sources,Values for renewable electricity,"Types of Usage (Utility ,Captive)",Type of Energy Sector,YearCode,Year
TAMILNADU,2016,,Generation,WIND,RENEWABLE,1004.23,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2015,SR,Capacity,SOLAR,,77.22,,,2015,"Financial Year (Apr - Mar), 2015"
ASSAM,2015,,Generation,DIESEL,NON-RENEWABLE,6.29,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2013,WR,Capacity,SOLAR,,4,,,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2015,,Generation,HYDRO,NON-RENEWABLE,165.15,UTILITY,CENTRAL,2015,"Financial Year (Apr - Mar), 2015"
HIMACHAL PRADESH,2012,,Generation,HYDRO,NON-RENEWABLE,23828.21,UTILITY,CENTRAL,2012,"Financial Year (Apr - Mar), 2012"
TRIPURA,2014,,Generation,NATURAL GAS,NON-RENEWABLE,728.25,UTILITY,STATE,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2016,,Generation,DIESEL,NON-RENEWABLE,175.94,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
JHARKHAND,2018,ER,Potential,SOLAR,RENEWABLE,18180,,,2018,"Financial Year (Apr - Mar), 2018"
CHANDIGARH,2012,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
KERALA,2011,,Generation,SOLAR,RENEWABLE,0.017,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
UTTARAKHAND,2015,,Generation,HYDRO,NON-RENEWABLE,5423.92,UTILITY,CENTRAL,2015,"Financial Year (Apr - Mar), 2015"
MANIPUR,2011,NER,Capacity,SMALL HYDRO,,5.45,,,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2019,,Generation,COAL,NON-RENEWABLE,57059.07,UTILITY,PRIVATE,2019,"Financial Year (Apr - Mar), 2019"
RAJASTHAN,2017,,Generation,WIND,RENEWABLE,5658.46,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
MANIPUR,2016,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
GOA,2018,WR,Potential,SOLAR,RENEWABLE,88,,,2018,"Financial Year (Apr - Mar), 2018"
DADRA & NAGAR HAVELI,2011,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2017,WR,Potential,WASTE,RENEWABLE,287,,,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2016,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2018,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
DADRA & NAGAR HAVELI,2017,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
WEST BENGAL,2014,,Generation,NATURAL GAS,NON-RENEWABLE,0,UTILITY,STATE,2014,"Financial Year (Apr - Mar), 2014"
ASSAM,2018,,Generation,COAL,NON-RENEWABLE,332.894,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
PUDUCHERRY,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
CHHATTISGARH,2011,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
DIU & DAMAN,2019,WR,Capacity,SOLAR,,14.47,,,2019,"Financial Year (Apr - Mar), 2019"
TAMILNADU,2014,,Generation,DIESEL,NON-RENEWABLE,1451.39,UTILITY,PRIVATE,2014,"Financial Year (Apr - Mar), 2014"
MANIPUR,2015,,Generation,DIESEL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
UTTARAKHAND,2012,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
MAHARASHTRA,2012,,Generation,NUCLEAR,NON-RENEWABLE,9814.45,UTILITY,CENTRAL,2012,"Financial Year (Apr - Mar), 2012"
OTHERS,2019,IN,Potential,WASTE,RENEWABLE,1022,,,2019,"Financial Year (Apr - Mar), 2019"
PUNJAB,2016,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
ODISHA,2015,,Generation,COAL,NON-RENEWABLE,14131.49,UTILITY,PRIVATE,2015,"Financial Year (Apr - Mar), 2015"
OTHERS,2012,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
JHARKHAND,2014,ER,Capacity,SOLAR,,16,,,2014,"Financial Year (Apr - Mar), 2014"
DADRA & NAGAR HAVELI,2020,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
RAJASTHAN,2016,,Generation,NATURAL GAS,NON-RENEWABLE,1892.89,UTILITY,STATE,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2013,,Generation,COAL,NON-RENEWABLE,18012.31,UTILITY,STATE,2013,"Financial Year (Apr - Mar), 2013"
SIKKIM,2018,ER,Capacity,SOLAR,,0,,,2018,"Financial Year (Apr - Mar), 2018"
PUNJAB,2014,,Generation,NATURAL GAS,NON-RENEWABLE,13.66,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
KERALA,2016,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
UTTAR PRADESH,2013,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
GOA,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
GOA,2017,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2018,,Generation,HYDRO,NON-RENEWABLE,5914.17,UTILITY,CENTRAL,2018,"Financial Year (Apr - Mar), 2018"
MEGHALAYA,2013,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2011,,Generation,WASTE,RENEWABLE,6.321,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2019,,Generation,COAL,NON-RENEWABLE,46133.72,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
MAHARASHTRA,2019,WR,Capacity,SMALL HYDRO,,375.57,,,2019,"Financial Year (Apr - Mar), 2019"
MADHYA PRADESH,2012,WR,Capacity,WIND,,376.4,,,2012,"Financial Year (Apr - Mar), 2012"
MADHYA PRADESH,2011,WR,Capacity,WASTE,,2.7,,,2011,"Financial Year (Apr - Mar), 2011"
MANIPUR,2015,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2011,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2017,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
JAMMU & KASHMIR,2018,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
CHHATTISGARH,2012,,Generation,COAL,NON-RENEWABLE,33565.84,UTILITY,CENTRAL,2012,"Financial Year (Apr - Mar), 2012"
BIHAR,2014,,Generation,NATURAL GAS,NON-RENEWABLE,216.96,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
GUJARAT,2011,WR,Capacity,COGENERATION-BAGASSE,,0.5,,,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2020,NER,Capacity,SOLAR,,41.23,,,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2020,,Generation,SOLAR,RENEWABLE,1.289,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
MEGHALAYA,2013,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2015,ER,Capacity,SMALL HYDRO,,98.5,,,2015,"Financial Year (Apr - Mar), 2015"
HARYANA,2014,,Generation,SMALL HYDRO,RENEWABLE,946.729,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
TAMILNADU,2015,,Generation,SOLAR,RENEWABLE,1.82,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
TRIPURA,2013,,Generation,NATURAL GAS,NON-RENEWABLE,661.12,UTILITY,CENTRAL,2013,"Financial Year (Apr - Mar), 2013"
DIU & DAMAN,2014,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
MADHYA PRADESH,2013,,Generation,COAL,NON-RENEWABLE,16836.38,UTILITY,STATE,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2020,NR,Potential,WIND,RENEWABLE,54,,,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2016,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2012,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
HIMACHAL PRADESH,2020,,Generation,HYDRO,NON-RENEWABLE,7999.33,UTILITY,PRIVATE,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2012,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
PUDUCHERRY,2018,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2019,,Generation,SOLAR,RENEWABLE,2206.617,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
UTTARAKHAND,2020,,Generation,SOLAR,RENEWABLE,341.505,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
KARNATAKA,2019,SR,Capacity,SOLAR,,6095.56,,,2019,"Financial Year (Apr - Mar), 2019"
DELHI,2011,,Generation,NATURAL GAS,NON-RENEWABLE,88.8,UTILITY,PRIVATE,2011,"Financial Year (Apr - Mar), 2011"
TRIPURA,2015,,Generation,DIESEL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
UTTAR PRADESH,2013,NR,Capacity,WASTE,,5,,,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2019,NER,Potential,SOLAR,RENEWABLE,13760,,,2019,"Financial Year (Apr - Mar), 2019"
CHANDIGARH,2016,,Generation,DIESEL,NON-RENEWABLE,1.22,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
CHHATTISGARH,2011,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2012,,Generation,COAL,NON-RENEWABLE,1684.41,UTILITY,PRIVATE,2012,"Financial Year (Apr - Mar), 2012"
PUNJAB,2018,,Generation,HYDRO,NON-RENEWABLE,3721.99,UTILITY,STATE,2018,"Financial Year (Apr - Mar), 2018"
DELHI,2015,,Generation,SOLAR,RENEWABLE,1.573,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
MADHYA PRADESH,2015,WR,Potential,SOLAR,RENEWABLE,61660,,,2015,"Financial Year (Apr - Mar), 2015"
BIHAR,2019,,Generation,DIESEL,NON-RENEWABLE,1.405,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
ODISHA,2015,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
RAJASTHAN,2020,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
ARUNACHAL PRADESH,2016,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
TRIPURA,2019,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
MAHARASHTRA,2016,,Generation,BIOMASS-BAGASSE,RENEWABLE,3433.418,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2017,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2018,,Generation,DIESEL,NON-RENEWABLE,551.119,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
PUNJAB,2019,NR,Potential,BIOMASS,RENEWABLE,3172,,,2019,"Financial Year (Apr - Mar), 2019"
UTTARAKHAND,2015,NR,Capacity,SMALL HYDRO,,209.32,,,2015,"Financial Year (Apr - Mar), 2015"
KARNATAKA,2018,SR,Capacity,WASTE,,1,,,2018,"Financial Year (Apr - Mar), 2018"
ODISHA,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,20.483,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
UTTAR PRADESH,2019,,Generation,COAL,NON-RENEWABLE,31908.89,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
GUJARAT,2018,,Generation,SMALL HYDRO,RENEWABLE,42.93,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2020,WR,Capacity,WIND,,2519.89,,,2020,"Financial Year (Apr - Mar), 2020"
LAKSHADWEEP,2016,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
A & N ISLANDS,2017,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
MADHYA PRADESH,2019,WR,Capacity,WASTE,,15.4,,,2019,"Financial Year (Apr - Mar), 2019"
GUJARAT,2020,WR,Potential,SMALL HYDRO,RENEWABLE,202,,,2020,"Financial Year (Apr - Mar), 2020"
ANDHRA PRADESH,2018,SR,Capacity,WASTE,,23.16,,,2018,"Financial Year (Apr - Mar), 2018"
BIHAR,2018,ER,Potential,SMALL HYDRO,RENEWABLE,527,,,2018,"Financial Year (Apr - Mar), 2018"
PUDUCHERRY,2012,SR,Capacity,SOLAR,,0.03,,,2012,"Financial Year (Apr - Mar), 2012"
MIZORAM,2016,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
ODISHA,2018,ER,Capacity,COGENERATION-BAGASSE,,50.4,,,2018,"Financial Year (Apr - Mar), 2018"
ODISHA,2017,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2018,,Generation,COAL,NON-RENEWABLE,8980.183,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
RAJASTHAN,2012,NR,Capacity,SMALL HYDRO,,23.85,,,2012,"Financial Year (Apr - Mar), 2012"
CHANDIGARH,2019,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
MADHYA PRADESH,2016,,Generation,COAL,NON-RENEWABLE,4477.55,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2014,,Generation,SOLAR,RENEWABLE,530.469,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
WEST BENGAL,2020,,Generation,SOLAR,RENEWABLE,64.291,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
GOA,2015,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
GUJARAT,2017,WR,Potential,SOLAR,RENEWABLE,35770,,,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2011,WR,Capacity,SOLAR,,5,,,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2017,,Generation,SMALL HYDRO,RENEWABLE,224.462,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2020,,Generation,HYDRO,NON-RENEWABLE,3.5,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
HIMACHAL PRADESH,2020,NR,Potential,WIND,RENEWABLE,151,,,2020,"Financial Year (Apr - Mar), 2020"
DELHI,2015,,Generation,COAL,NON-RENEWABLE,423.54,UTILITY,STATE,2015,"Financial Year (Apr - Mar), 2015"
TAMILNADU,2019,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
CHHATTISGARH,2012,,Generation,COAL,NON-RENEWABLE,12858.76,UTILITY,PRIVATE,2012,"Financial Year (Apr - Mar), 2012"
ARUNACHAL PRADESH,2015,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
MIZORAM,2017,NER,Capacity,SOLAR,,0.1,,,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2013,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
MANIPUR,2018,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2016,,Generation,NUCLEAR,NON-RENEWABLE,7672.71,UTILITY,CENTRAL,2016,"Financial Year (Apr - Mar), 2016"
SIKKIM,2020,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
HIMACHAL PRADESH,2014,,Generation,HYDRO,NON-RENEWABLE,23644.2,UTILITY,CENTRAL,2014,"Financial Year (Apr - Mar), 2014"
MADHYA PRADESH,2017,WR,Capacity,SOLAR,,857.04,,,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2018,WR,Potential,SOLAR,RENEWABLE,35770,,,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2014,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
MEGHALAYA,2020,,Generation,DIESEL,NON-RENEWABLE,17.896,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
ANDHRA PRADESH,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,699.283,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
TAMILNADU,2020,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2018,,Generation,COAL,NON-RENEWABLE,2.781,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,57.524,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
TAMILNADU,2018,,Generation,WIND,RENEWABLE,1068.04,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
DIU & DAMAN,2019,,Generation,SOLAR,RENEWABLE,18.936,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
MAHARASHTRA,2014,,Generation,NATURAL GAS,NON-RENEWABLE,1948.51,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
TAMILNADU,2017,SR,Capacity,COGENERATION-BAGASSE,,878,,,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2013,,Generation,COAL,NON-RENEWABLE,534.54,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
LAKSHADWEEP,2018,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
OTHERS,2014,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
TAMILNADU,2011,,Generation,LIGNITE,NON-RENEWABLE,17614.09,UTILITY,CENTRAL,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
DELHI,2020,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
MADHYA PRADESH,2014,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
PUDUCHERRY,2019,,Generation,NATURAL GAS,NON-RENEWABLE,229.88,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
GOA,2014,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
ARUNACHAL PRADESH,2020,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
MANIPUR,2020,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
A & N ISLANDS,2018,,Generation,DIESEL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2019,,Generation,COAL,NON-RENEWABLE,8205.141,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
NAGALAND,2018,NER,Potential,SOLAR,RENEWABLE,7290,,,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2016,SR,Capacity,SMALL HYDRO,,1217.73,,,2016,"Financial Year (Apr - Mar), 2016"
GOA,2011,,Generation,DIESEL,NON-RENEWABLE,91.63,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2019,,Generation,SOLAR,RENEWABLE,13.119,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
MIZORAM,2016,NER,Capacity,SMALL HYDRO,,36.47,,,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2013,,Generation,NATURAL GAS,NON-RENEWABLE,391.37,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2011,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2011,,Generation,COAL,NON-RENEWABLE,3184.72,UTILITY,STATE,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2015,NR,Capacity,SMALL HYDRO,,157.4,,,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2014,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
SIKKIM,2020,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
KERALA,2019,,Generation,DIESEL,NON-RENEWABLE,4.07,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
MADHYA PRADESH,2013,,Generation,DIESEL,NON-RENEWABLE,134.79,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
TELANGANA,2015,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
ANDHRA PRADESH,2011,,Generation,COAL,NON-RENEWABLE,29441.12,UTILITY,STATE,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2019,,Generation,WIND,RENEWABLE,7575.143,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
PUNJAB,2016,,Generation,DIESEL,NON-RENEWABLE,333.57,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2014,NR,Capacity,WIND,,2784.9,,,2014,"Financial Year (Apr - Mar), 2014"
GUJARAT,2017,,Generation,NATURAL GAS,NON-RENEWABLE,10164.935,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2011,,Generation,HYDRO,NON-RENEWABLE,4190.82,UTILITY,STATE,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2015,,Generation,HYDRO,NON-RENEWABLE,1506.9,UTILITY,PRIVATE,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2018,WR,Capacity,COGENERATION-BAGASSE,,228,,,2018,"Financial Year (Apr - Mar), 2018"
TAMILNADU,2014,,Generation,NATURAL GAS,NON-RENEWABLE,2538.22,UTILITY,PRIVATE,2014,"Financial Year (Apr - Mar), 2014"
ODISHA,2018,ER,Potential,BIOMASS,RENEWABLE,433,,,2018,"Financial Year (Apr - Mar), 2018"
UTTARAKHAND,2016,NR,Potential,WIND,RENEWABLE,534,,,2016,"Financial Year (Apr - Mar), 2016"
TAMILNADU,2017,,Generation,SOLAR,RENEWABLE,14.505,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2017,,Generation,HYDRO,NON-RENEWABLE,3063.46,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2019,NR,Capacity,WASTE,,52,,,2019,"Financial Year (Apr - Mar), 2019"
TELANGANA,2018,,Generation,SOLAR,RENEWABLE,4029.43,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
NAGALAND,2016,NER,Potential,WIND,RENEWABLE,16,,,2016,"Financial Year (Apr - Mar), 2016"
BIHAR,2015,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
HIMACHAL PRADESH,2011,,Generation,DIESEL,NON-RENEWABLE,73.43,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2018,,Generation,COAL,NON-RENEWABLE,2840.33,UTILITY,STATE,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2020,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
ODISHA,2013,ER,Capacity,SMALL HYDRO,,64.3,,,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2018,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2020,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
JHARKHAND,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
UTTAR PRADESH,2016,,Generation,DIESEL,NON-RENEWABLE,639.99,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
